COCACommunity,COCA_clean,Colburn_clean,ColburnCommunity,Lat,Long,lat_sort
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,"Sandwich East Sandwich Forestdale, MA","Sandwich East Sandwich Forestdale, MA","Sandwich East Sandwich Forestdale, MA",41.75883,-70.50095,79
SAUGUS_MA,"Saugus, MA","Saugus, MA","Saugus, MA",42.46514,-71.01105,62
SCARBOROUGH_ME,"Scarborough, ME","Scarborough, ME","Scarborough, ME",43.5902,-70.33449,44
SCITUATE_NORTH_SCITUATE_MA,"Scituate North Scituate, MA","Scituate North Scituate, MA","Scituate North Scituate, MA",42.20427,-70.7606,69
SEA ISLE CITY_NJ,"Sea Isle City, NJ","Sea Isle City, NJ","Sea Isle City, NJ",39.15345,-74.69294,127
SEABROOK_NH,"Seabrook, NH","Seabrook, MD","Seabrook, MD",42.89096,-70.86551,54
SHINNECOCK_NY,"Shinnecock, NY","Shinnecock Hills, NY","Shinnecock Hills, NY",40.89093,-72.4637,115
SORRENTO_ME,"Sorrento, ME","Sorrento, ME","Sorrento, ME",44.47341,-68.17723,14
SOUTH BRISTOL_ME,"South Bristol, ME","South Bristol, ME","South Bristol, ME",43.86397,-69.56116,34
SOUTH HARPSWELL_ME,"South Harpswell, ME",,"Harpswell Bailey Island, ME",43.74206,-70.01406,41
SOUTH KINGSTOWN_RI,"South Kingstown, RI","South Kingstown Kingston Wakefield-Peacedale, RI","South Kingstown Kingston Wakefield-Peacedale, RI",41.41085,-71.54747,102
SOUTH THOMASTON_ME,"South Thomaston, ME","South Thomaston, ME","South Thomaston, ME",44.0515,-69.12773,25
SOUTHPORT_ME,"Southport, ME","Southport, ME","Southport, ME",43.84092,-69.65866,37
SOUTHWEST HARBOR_ME,"Southwest Harbor, ME","Southwest Harbor, ME","Southwest Harbor, ME",44.27983,-68.32499,18
STONINGTON_ME,"Stonington, ME","Stonington, ME","Stonington, ME",44.15619,-68.66669,21
STONINGTON_MYSTIC_PAWCATUCK_CT,"Stonington Mystic Pawcatuck, CT","Stonington Mystic Pawcatuck, CT","Stonington Mystic Pawcatuck, CT",41.35427,-71.96646,106
STUEBEN_ME,"Stueben, ME","Steuben, ME","Steuben, ME",44.51072,-67.96526,12
SWANS ISLAND_ME,"Swans Island, ME","Swans Island, ME","Swans Island, ME",44.14544,-68.45141,22
TIVERTON_RI,"Tiverton, RI","Tiverton, RI","Tiverton, RI",41.60944,-71.17811,92
TREMONT_ME,"Tremont, ME","Tremont, ME","Tremont, ME",44.2537,-68.35192,19
TRURO_MA,"Truro, MA","Truro, MA","Truro, MA",42.01356,-70.06415,73
VINALHAVEN_ME,"Vinalhaven, ME","Vinalhaven, ME","Vinalhaven, ME",44.04873,-68.83675,26
VINEYARD HAVEN_MA,"Vineyard Haven, MA","Tisbury Vineyard Haven, MA","Tisbury Vineyard Haven, MA",41.47307,-70.61742,100
VIRGINIA BEACH/LYNNHAVEN_VA,"Virginia Beach Lynnhaven, VA","Virginia Beach, VA","Virginia Beach, VA",36.85293,-75.97799,138
WACHAPREAGUE_VA,"Wachapreague, VA","Wachapreague, VA","Wachapreague, VA",37.60631,-75.68964,134
WANCHESE_NC,"Wanchese, NC","Wanchese, NC","Wanchese, NC",35.84267,-75.63851,139
WAREHAM_MA,"Wareham, MA","Wareham West Wareham Onset, MA","Wareham West Wareham Onset, MA",41.76104,-70.70178,78
WARETOWN_NJ,"Waretown, NJ","Waretown, NJ","Waretown, NJ",39.78981,-74.19327,124
WARWICK_RI,"Warwick, RI","Warwick, RI","Warwick, RI",41.70727,-71.41758,81
WELLFLEET_MA,"Wellfleet, MA","Wellfleet, MA","Wellfleet, MA",41.93055,-70.03098,75
WESTERLEY (WESTERLEY CENTER)_RI,"Westerley Westerley Center, RI","Westerly Bradford, RI","Westerly Bradford, RI",41.32746,-71.77884,108
WESTPORT_MA,"Westport, MA","Westport, MA","Westport, MA",41.57002,-71.07355,94
WILDWOOD_NJ,"Wildwood, NJ","Wildwood, NJ","Wildwood, NJ",38.99178,-74.81489,129
WINTER HARBOR_ME,"Winter Harbor, ME","Winter Harbor, ME","Winter Harbor, ME",44.39479,-68.08303,16
WINTHROP_MA,"Winthrop, MA","Winthrop Town, MA","Winthrop Town, MA",42.37554,-70.97065,64
WOODS HOLE_MA,"Woods Hole, MA","Woods Hole, MA","Woods Hole, MA",41.5265,-70.67309,96
YARMOUTH_MA,"Yarmouth, MA","Yarmouth South Yarmouth West Yarmouth Yarmouth Port, MA","Yarmouth South Yarmouth West Yarmouth Yarmouth Port, MA",41.67495,-70.22601,86
YORK HARBOR_ME,"York Harbor, ME","York Harbor, ME","York Harbor, ME",43.13676,-70.64561,48
