Community,Long,Lat,ProjectionScenario,TotalChangeValue,TotalChangeVolume
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp45_cold_percdiff.combo.b,-10.04845403,-8.145621693
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp45_mean_percdiff.combo.b,-18.97921854,-14.89021571
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp45_warm_percdiff.combo.b,-33.52242378,-28.70735671
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp85_cold_percdiff.combo.b,-30.50452219,-25.614053
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp85_mean_percdiff.combo.b,-56.50685324,-52.09982206
BEALS ISLAND_ME,-67.61504,44.51985,Future_2100_rcp85_warm_percdiff.combo.b,-73.40654014,-68.31252786
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp45_cold_percdiff.combo.b,-4.940263334,-9.15966884
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp45_mean_percdiff.combo.b,1.004097925,-1.281368264
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp45_warm_percdiff.combo.b,4.417558248,4.421282929
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp85_cold_percdiff.combo.b,-5.47348003,-8.84716184
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp85_mean_percdiff.combo.b,1.956255285,0.629372752
BEAUFORT_NC,-76.66382,34.71822,Future_2055_rcp85_warm_percdiff.combo.b,4.513361592,5.740216188
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp45_cold_percdiff.combo.b,-4.993710502,-8.587595286
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp45_mean_percdiff.combo.b,1.729523806,0.321807682
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp45_warm_percdiff.combo.b,4.273654051,5.359147703
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp85_cold_percdiff.combo.b,0.930397534,-1.163550135
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp85_mean_percdiff.combo.b,4.488731331,6.173690921
BEAUFORT_NC,-76.66382,34.71822,Future_2100_rcp85_warm_percdiff.combo.b,2.458751455,7.462494022
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp45_cold_percdiff.combo.b,1.930606283,5.665683965
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp45_mean_percdiff.combo.b,0.297798608,5.804514824
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp45_warm_percdiff.combo.b,8.681757065,27.58415391
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp85_cold_percdiff.combo.b,-8.844261075,-1.37516442
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp85_mean_percdiff.combo.b,-0.779844732,4.259629347
BELFORD_NJ,-74.08681,40.42594,Future_2055_rcp85_warm_percdiff.combo.b,15.18322295,49.90871276
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp45_cold_percdiff.combo.b,-5.624251159,4.216292982
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp45_mean_percdiff.combo.b,-1.948506625,1.448022777
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp45_warm_percdiff.combo.b,13.63138361,46.46351317
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp85_cold_percdiff.combo.b,-3.49083455,-2.867144484
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp85_mean_percdiff.combo.b,15.35287081,56.07234012
BELFORD_NJ,-74.08681,40.42594,Future_2100_rcp85_warm_percdiff.combo.b,42.590495,161.6307751
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp45_cold_percdiff.combo.b,6.222308595,6.140264558
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp45_mean_percdiff.combo.b,-15.88191029,-15.77638741
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp45_warm_percdiff.combo.b,-47.50377372,-47.24653029
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp85_cold_percdiff.combo.b,-5.101227663,-5.04562819
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp85_mean_percdiff.combo.b,-30.96647901,-30.76804732
BEVERLY_MA,-70.88005,42.55843,Future_2055_rcp85_warm_percdiff.combo.b,-60.02636169,-59.75481992
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp45_cold_percdiff.combo.b,-0.742321808,-0.727640931
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp45_mean_percdiff.combo.b,-25.04768669,-24.88752967
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp45_warm_percdiff.combo.b,-52.64373544,-52.37133718
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp85_cold_percdiff.combo.b,-32.44087167,-32.26072029
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp85_mean_percdiff.combo.b,-68.50792651,-68.2804481
BEVERLY_MA,-70.88005,42.55843,Future_2100_rcp85_warm_percdiff.combo.b,-85.48210975,-85.26773754
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp45_cold_percdiff.combo.b,-20.74748344,-20.30457175
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp45_mean_percdiff.combo.b,-26.24885594,-25.08300131
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp45_warm_percdiff.combo.b,-33.46266656,-32.49311693
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp85_cold_percdiff.combo.b,-23.8701927,-23.07848434
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp85_mean_percdiff.combo.b,-27.95625813,-26.66183275
BLUE HILL_ME,-68.58669,44.41397,Future_2055_rcp85_warm_percdiff.combo.b,-44.26791172,-44.2108946
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp45_cold_percdiff.combo.b,-20.97372023,-20.36564521
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp45_mean_percdiff.combo.b,-26.29138712,-24.94464122
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp45_warm_percdiff.combo.b,-39.49722096,-39.15146213
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp85_cold_percdiff.combo.b,-39.391008,-38.77847545
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp85_mean_percdiff.combo.b,-60.20553332,-61.27618855
BLUE HILL_ME,-68.58669,44.41397,Future_2100_rcp85_warm_percdiff.combo.b,-72.81999842,-74.6974547
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp45_cold_percdiff.combo.b,-9.334542996,-7.472480899
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp45_mean_percdiff.combo.b,-24.65900931,-22.47888421
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp45_warm_percdiff.combo.b,-48.78948693,-44.75978498
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp85_cold_percdiff.combo.b,-15.37935138,-14.3550059
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp85_mean_percdiff.combo.b,-36.19518809,-33.36798106
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2055_rcp85_warm_percdiff.combo.b,-59.56988061,-54.22105497
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp45_cold_percdiff.combo.b,-13.452024,-11.81230885
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp45_mean_percdiff.combo.b,-31.41640405,-28.94237602
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp45_warm_percdiff.combo.b,-53.21219849,-48.61060113
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp85_cold_percdiff.combo.b,-39.38383736,-36.55399965
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp85_mean_percdiff.combo.b,-68.69417564,-62.45733644
BOOTHBAY HARBOR_ME,-69.6281,43.8523,Future_2100_rcp85_warm_percdiff.combo.b,-81.38023845,-73.5836517
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp45_cold_percdiff.combo.b,34.09915473,43.26359491
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp45_mean_percdiff.combo.b,-33.70065596,-32.14875907
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp45_warm_percdiff.combo.b,-54.39508974,-55.99631036
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp85_cold_percdiff.combo.b,8.878592255,11.70789261
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp85_mean_percdiff.combo.b,-44.90651514,-45.56982673
BOSTON_MA,-71.05888,42.36008,Future_2055_rcp85_warm_percdiff.combo.b,-59.35770182,-62.15482761
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp45_cold_percdiff.combo.b,16.533207,22.92821328
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp45_mean_percdiff.combo.b,-41.67481052,-41.83614721
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp45_warm_percdiff.combo.b,-57.05001442,-58.84979358
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp85_cold_percdiff.combo.b,-45.86371998,-47.30452086
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp85_mean_percdiff.combo.b,-61.32135308,-64.50027665
BOSTON_MA,-71.05888,42.36008,Future_2100_rcp85_warm_percdiff.combo.b,-72.57983658,-79.82296982
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp45_cold_percdiff.combo.b,7.216392936,6.477085085
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp45_mean_percdiff.combo.b,-7.304379669,-6.611531799
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp45_warm_percdiff.combo.b,-29.48496067,-26.98162055
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp85_cold_percdiff.combo.b,16.02231875,13.81800247
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp85_mean_percdiff.combo.b,-18.3135453,-16.78117906
BREMEN_ME,-69.40267,43.99287,Future_2055_rcp85_warm_percdiff.combo.b,-42.06715594,-38.22503394
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp45_cold_percdiff.combo.b,4.648383677,4.099287128
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp45_mean_percdiff.combo.b,-13.57909297,-12.41643961
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp45_warm_percdiff.combo.b,-34.77340372,-31.67070369
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp85_cold_percdiff.combo.b,-18.57869167,-17.26579195
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp85_mean_percdiff.combo.b,-52.23680634,-47.39969035
BREMEN_ME,-69.40267,43.99287,Future_2100_rcp85_warm_percdiff.combo.b,-66.27067216,-59.84007261
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp45_cold_percdiff.combo.b,-0.571053907,-0.228538287
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp45_mean_percdiff.combo.b,-15.59477436,-13.03569877
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp45_warm_percdiff.combo.b,-38.73279636,-32.30700686
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp85_cold_percdiff.combo.b,-3.839876952,-3.358155349
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp85_mean_percdiff.combo.b,-25.68028538,-21.49135315
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2055_rcp85_warm_percdiff.combo.b,-49.5789124,-41.23442513
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp45_cold_percdiff.combo.b,-2.941650059,-2.396151406
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp45_mean_percdiff.combo.b,-21.51322169,-18.00961999
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp45_warm_percdiff.combo.b,-43.57308539,-36.28208009
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp85_cold_percdiff.combo.b,-28.20045727,-23.65544539
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp85_mean_percdiff.combo.b,-58.14383418,-48.31754642
BRISTOL_NEW_HARBOR_PEMAQUID_ME,-69.49541,43.92481,Future_2100_rcp85_warm_percdiff.combo.b,-72.1049825,-59.78891853
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp45_cold_percdiff.combo.b,0.522909966,0.143563824
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp45_mean_percdiff.combo.b,-0.972639582,1.908448943
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp45_warm_percdiff.combo.b,1.422847069,20.84508835
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp85_cold_percdiff.combo.b,-2.300102496,-5.303056717
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp85_mean_percdiff.combo.b,-0.065508748,9.99104854
BRISTOL_RI,-71.2662,41.67711,Future_2055_rcp85_warm_percdiff.combo.b,1.779719919,24.19569339
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp45_cold_percdiff.combo.b,-1.741586341,-4.724986676
BRISTOL_RI,-71.2662,41.67711,Future_2100_rcp45_mean_percdiff.combo.b,-0.253405944,9.567814837
