COCA_clean,TimeHorizon,social_impact_raw,social_impact_presacledchange,social_impact_pretranschange,social_impact_fullyscaled,social_impact_fullytrans
"Seabrook, NH",2055,-36.94587354,0.172992253,-1.388611213,0,-0
"Shinnecock, NY",2055,12.99577633,0.641729875,1.253573572,0,0
"Sorrento, ME",2055,-43.163242919999995,1.0501974727999999,-0.6986964179999999,0.2250423156,-0.149720661
"South Bristol, ME",2055,-84.19622534400001,0.8729761184,-2.6431537248000003,0.20005702713333334,-0.6057227286000001
"South Harpswell, ME",2055,22.9804198,1.5670513482,2.6874576560000003,0.3214464304,0.5512733653333334
"South Kingstown, RI",2055,10.54164086,0.618696082,1.123736464,0,0
"South Thomaston, ME",2055,-36.340051968000004,0.4905315216,-1.0169441472,0.06131644020000001,-0.12711801840000003
"Southport, ME",2055,-76.3410808,0.32299578,-2.906805496,0.05383263,-0.4844675826666667
"Southwest Harbor, ME",2055,-38.30815912,0.679961586,-0.894657174,0.11332693099999999,-0.149109529
"Stonington, ME",2055,-97.5797972,1.163166128,-2.898396352,0.290791532,-0.724599088
"Stonington Mystic Pawcatuck, CT",2055,-2.494022029,0.496347188,0.434079029,0,0
"Stueben, ME",2055,-70.016784628,0.7981580376,-2.1193947656,0.1710338652,-0.4541560212
"Swans Island, ME",2055,-99.33478916199999,1.0427432218,-3.1044502382,0.25611237026666667,-0.7624965497333333
"Tiverton, RI",2055,3.939357581,0.556728995,0.774439785,0,0
"Tremont, ME",2055,-45.41111458,0.613295336,-1.270442132,0.10221588933333332,-0.2117403553333333
"Truro, MA",2055,64.81885979799999,1.3360282166,4.2217069636,0.12724078253333332,0.4020673298666666
"Vinalhaven, ME",2055,-107.531954136,0.8618559768,-3.6513300996,0.20748384626666666,-0.8790239128666667
"Vineyard Haven, MA",2055,2.2857832272,0.6451601015999999,0.8001619823999999,0.03584222786666666,0.04445344346666665
"Virginia Beach Lynnhaven, VA",2055,1.737659333,0.536064503,0.657957978,0,0
"Wachapreague, VA",2055,13.040339583,1.8895609582,2.6143944564,0.44460257839999995,0.6151516368
"Wanchese, NC",2055,22.033970604,2.0779236,3.2034117024,0.5002408666666667,0.7711917061333333
"Wareham, MA",2055,1.701455423,0.535724704,0.656042595,0,0
"Waretown, NJ",2055,10.982937542,1.142593306,1.71310981,0.19043221766666665,0.28551830166666664
"Warwick, RI",2055,1.924090357,0.53781429,0.667821193,0,0
"Wellfleet, MA",2055,1.10230653,1.049856612,1.190370714,0.17497610199999997,0.19839511899999998
"Westerley Westerley Center, RI",2055,23.46801586,0.740019232,1.807611975,0,0
"Westport, MA",2055,-1.982398129,0.501149139,0.461146714,0,0
"Wildwood, NJ",2055,-41.840509416,0.23100371039999998,-1.53435879,0.012833539466666663,-0.08524215499999999
"Winter Harbor, ME",2055,-97.54233288599998,1.0595666882,-3.0096195586,0.2602444497333333,-0.7392048038666666
"Winthrop, MA",2055,-28.18683538,0.255202006,-0.925210476,0,-0
"Woods Hole, MA",2055,36.369123696,1.2769095060000002,2.9429717994,0.18917177866666668,0.4359958221333333
"Yarmouth, MA",2055,-1.328442,0.507286979,0.495744549,0,0
"York Harbor, ME",2055,-42.40838,0.64147812,-1.11158115,0.10691302,-0.18526352499999998
"Addison, ME",2100,-114.62062612,0.360463446,-1.65538095,0.060077241,-0.275896825
"Atlantic City, NJ",2100,-8.28853538,0.480614399,0.553133214,0,0
"Avalon, NJ",2100,-86.72372513,0,-1.656194419,0,-0
"Bar Harbor, ME",2100,-66.296831052,0.23144705399999999,-0.9234985271999999,0.012858169666666664,-0.05130547373333332
"Barnegat Light Long Beach, NJ",2100,-216.7721704,0.797331632,-2.959538332,0.199332908,-0.739884583
"Barnstable, MA",2100,1.658316245,0.541564085,0.833311719,0,0
"Beals Island, ME",2100,-226.02741296,0.740619804,-3.2202359,0.185154951,-0.805058975
"Beaufort, NC",2100,10.7729551944,1.3413781271999998,2.1912902304,0.26082352473333326,0.42608421146666664
"Belford, NJ",2100,42.988038268,1.7513382655999998,3.4133508024,0.3752867712,0.7314323148
"Beverly, MA",2100,-68.50792651,0.11161795,-1.143099884,0,-0
"Blue Hill, ME",2100,-96.328853312,0.25998585280000003,-1.4547868080000002,0.032498231600000003,-0.18184835100000005
"Boothbay Harbor, ME",2100,-137.38835128,0.220953404,-2.296692134,0.03682556733333333,-0.38278202233333336
"Boston, MA",2100,-61.32135308,0.155653933,-0.940671671,0,-0
"Bremen, ME",2100,-104.47361268,0.42263963,-1.369564376,0.07043993833333333,-0.22826072933333333
"Bristol New Harbor Pemaquid, ME",2100,-116.28766836,0.350248586,-1.702337456,0.05837476433333333,-0.28372290933333333
"Bristol, RI",2100,1.502284496,0.540607994,0.828916686,0,0
"Brunswick, ME",2100,-4.569712127,0.50340162,0.657883378,0,0
"Bucks Harbor, ME",2100,-58.00940611,0.175948005,-0.847382218,0,-0
"Cape May, NJ",2100,-146.29423804,1.229187656,-0.974347196,0.307296914,-0.243586799
"Cape Porpoise, ME",2100,-221.988180608,0.3402481888,-3.7357413984,0.07797354326666668,-0.8561074038
"Chatham, MA",2100,34.0533756092,2.2279934964,3.9482841890000002,0.5472264727999999,0.9697540113333333
"Chebeague Island, ME",2100,-102.66621200000002,0.5399950798,-1.1613341146000002,0.09818092360000003,-0.21115165720000006
"Chincoteague, VA",2100,44.18091534,1.333525508,2.817670432,0.22225425133333332,0.4696117386666666
"Cohasset, MA",2100,-67.18023744,0.119753412,-1.105702127,0,-0
"Cundys Harbor, ME",2100,-173.824114984,0.31653358880000004,-2.8510379612,0.06492996693333333,-0.5848282997333333
"Cushing, ME",2100,-128.56331216,0.275029144,-2.048112346,0.04583819066666667,-0.34135205766666665
"Cutler, ME",2100,-193.77547919999998,0.6194030546,-2.7837383379999996,0.1457418952,-0.6549972559999999
"Dennis, MA",2100,-6.784691455,0.489829256,0.595492823,0,0
"District 1 Grafton Seaford Yorktown, VA",2100,-78.525190704,0.1565173488,-1.2679415375999998,0.008695408266666666,-0.07044119653333332
"Duxbury, MA",2100,-0.6486099479999999,0.9525504672,1.3976120466000002,0.14111858773333333,0.20705363653333334
"East Hampton, NY",2100,120.4141266,1.800647206,4.964973712,0.30010786766666664,0.8274956186666667
"Eastham, MA",2100,-15.2357173,0.438045296,0.357448076,0,0
"Eastport, ME",2100,-81.420336162,0.45761885820000003,-0.8775301086,0.0677953864,-0.13000446053333334
"Edgartown, MA",2100,1.831782453,0.542627005,0.838197838,0,0
"Engelhard, NC",2100,6.647221238,1.10353647,1.760437984,0.183922745,0.29340633066666666
"Fairhaven, MA",2100,-44.213387568,0.5793252128,0.0131785152,0.0724156516,0.0016473144000000001
"Fall River, MA",2100,-15.34945925,0.437348339,0.354244243,0,0
"Falmouth, MA",2100,24.59584004,0.682114573,1.479405715,0,0
"Freeport, ME",2100,-58.41559026,0.70486179,-0.07222243,0.117476965,-0.012037071666666666
"Freeport, NY",2100,-7.904058981,0.482970292,0.563962975,0,0
"Friendship, ME",2100,-242.927775468,0.4245011604,-4.0109182164,0.1021947238,-0.9655914224666667
"Georgetown, ME",2100,-108.83672172,0.395904524,-1.492462496,0.06598408733333333,-0.24874374933333332
"Gloucester, MA",2100,-83.02143778,0.55408859,-0.765309028,0.09234809833333332,-0.12755150466666665
"Gouldsboro Corea Prospect Harbor, ME",2100,-166.926544372,0.4650792356,-2.4994300519999997,0.0996598362,-0.5355921539999999
"Greenport, NY",2100,33.36654329,0.735857367,1.726454994,0,0
"Hampton Hampton Compact, NH",2100,-52.98969381,0.20670647,-0.705989188,0,-0
"Hampton Bays Shinnecock, NY",2100,19.932418044000002,1.0786614444,1.9773293148,0.15980169546666667,0.29293767626666667
"Hampton, VA",2100,-12.35482921,0.45569804,0.438595654,0,0
"Hancock, ME",2100,-22.63747545,0.392690762,0.148958635,0,0
"Harpswell Bailey Island, ME",2100,-163.240094446,0.38138754939999997,-2.5529119668,0.07823334346666666,-0.5236742496
"Harwichport, MA",2100,4.164738344,1.088324968,1.690512508,0.18138749466666665,0.2817520846666667
"Hatteras Avon Buxton Frisco Hatteras Rodanthe Salvo Waves, NC",2100,124.76132633800002,1.9335653656,5.244743906600001,0.35155733920000004,0.9535898012000003
"Hingham, MA",2100,-64.30078192,0.137397378,-1.024594901,0,-0
"Hobucken, NC",2100,-25.17661992,0.69597368,0.5493977423999999,0.08699671000000002,0.068674717800000007
"Hull, MA",2100,-66.83224782,0.121885731,-1.09590011,0,-0
"Hyannis, MA",2100,-36.24745056,0.309295158,-0.234401107,0,-0
"Hyannisport, MA",2100,-31.84753219,0.336255813,-0.110466158,0,-0
"Ipswich, MA",2100,-8.573712796,0.478866965,0.545100464,0,0
"Island Park, NY",2100,-27.10298754,0.365328178,0.023176071,0,0
"Islip, NY",2100,5.743852514,0.566598353,0.948391292,0,0
"Jamestown, RI",2100,-16.2557138,0.431795232,0.328717267,0,0
"Jonesport, ME",2100,-147.43809198199997,1.1158981086,-1.1638869671999998,0.27408023719999997,-0.2858669744
"Kennebunkport, ME",2100,-178.400606336,0.6073325920000001,-2.5079859392,0.13918038566666668,-0.5747467777333334
"Kittery Kittery Point, ME",2100,-79.114700532,0.1529051064,-1.2845465891999999,0.00849472813333333,-0.07136369939999998
"Little Compton, RI",2100,40.03489046,1.308120594,2.700887042,0.218020099,0.4501478403333333
"Lubec, ME",2100,-19.586506824,0.8365078349999999,0.864177768,0.12392708666666666,0.128026336
"Machiasport, ME",2100,-76.66125744,0.8056218959999999,-0.27151788959999995,0.15664870199999997,-0.05279514519999999
"Manchester, MA",2100,-54.15810038,0.199547017,-0.738900346,0,-0
"Marblehead, MA",2100,-57.16138145,0.181144307,-0.823495435,0,-0
"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",2100,-36.59325601,0.307176223,-0.244141601,0,-0
"Matinicus, ME",2100,-261.61427,0.52256008,-4.222630704,0.13064002,-1.055657676
"Mattituck, NY",2100,43.69343911,0.799135787,2.017338415,0,0
"Menemsha, MA",2100,-5.7459887496,1.1338771752,1.5686717442000002,0.20615948640000004,0.28521304440000006
"Milbridge, ME",2100,-168.95758038,0.5589145289999999,-2.399319174,0.12420322866666667,-0.5331820386666666
"Montauk, NY",2100,52.31052183600001,2.2335842664000003,4.3052231844,0.5377147308,1.0364426184666669
"Moriches, NY",2100,68.48680362,0.951058005,2.715706909,0,0
"Nahant, MA",2100,-70.77620452,0.097718997,-1.206991733,0,-0
"Nantucket, MA",2100,6.032734898399999,0.6746490287999999,1.113848604,0.03748050159999999,0.06188047799999998
"New Bedford, MA",2100,-45.7038173,0.78275363,0.285837152,0.13045893833333333,0.04763952533333333
"New London, CT",2100,-19.55037334,0.411607089,0.235914758,0,0
"New Shoreham, RI",2100,-118.974004578,0.44006850360000005,-1.6206847822000001,0.08001245520000001,-0.29466996040000004
"Newburyport, MA",2100,-35.02762722,0.316769668,-0.200041664,0,-0
"Newington, NH",2100,-231.79858427199997,0.5989762083999999,-3.5401158947999996,0.14711696346666664,-0.8695021495999998
"Newport News, VA",2100,-45.45098414,0.25290018,-0.493642158,0,-0
"Newport, RI",2100,-35.61394021,0.313177015,-0.216556668,0,-0
"North Kingstown Saunderstown, RI",2100,-9.502808675,0.473173897,0.518930103,0,0
"Oak Bluffs, MA",2100,0.49548143100000003,0.534438773,0.800557504,0,0
"Ocean City, MD",2100,-21.201352704,0.8266128084,0.8186915052,0.1224611568,0.1212876304
"Ogunquit, ME",2100,-114.06002400000001,0.257618016,-1.7969103594,0.038165632,-0.2662089421333333
"Oriental, NC",2100,0.0234961714,1.3817909767999998,2.0458244352,0.2834443029333333,0.4196562944
"Orleans, MA",2100,2.322209027,0.545632111,0.852011956,0,0
"Owls Head, ME",2100,-145.381376624,0.27825639820000003,-2.3645159252,0.05059207240000001,-0.42991198640000006
