COCACommunity,COCA_clean,TimeHorizon,ClimateScenario,EnsembleStat,EmergingSpecies,EmergingSpecies_rescaled
LUBEC_ME,"Lubec, ME",2055,rcp85,mean,16,0.6818181818181818
LUBEC_ME,"Lubec, ME",2100,rcp85,mean,18,0.7391304347826086
MACHIASPORT_ME,"Machiasport, ME",2055,rcp85,mean,15,0.6363636363636364
MACHIASPORT_ME,"Machiasport, ME",2100,rcp85,mean,19,0.782608695652174
MANCHESTER_MA,"Manchester, MA",2055,rcp85,mean,7,0.2727272727272727
MANCHESTER_MA,"Manchester, MA",2100,rcp85,mean,12,0.4782608695652174
MARBLEHEAD_MA,"Marblehead, MA",2055,rcp85,mean,12,0.5
MARBLEHEAD_MA,"Marblehead, MA",2100,rcp85,mean,16,0.6521739130434783
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST/MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",2055,rcp85,mean,8,0.3181818181818182
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST/MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",2100,rcp85,mean,14,0.5652173913043478
MATINICUS_ME,"Matinicus, ME",2055,rcp85,mean,17,0.7272727272727273
MATINICUS_ME,"Matinicus, ME",2100,rcp85,mean,17,0.6956521739130435
MATTITUCK_NY,"Mattituck, NY",2055,rcp85,mean,7,0.2727272727272727
MATTITUCK_NY,"Mattituck, NY",2100,rcp85,mean,6,0.21739130434782608
MENEMSHA_MA,"Menemsha, MA",2055,rcp85,mean,10,0.4090909090909091
MENEMSHA_MA,"Menemsha, MA",2100,rcp85,mean,11,0.43478260869565216
MILBRIDGE_ME,"Milbridge, ME",2055,rcp85,mean,18,0.7727272727272727
MILBRIDGE_ME,"Milbridge, ME",2100,rcp85,mean,23,0.9565217391304348
MONTAUK_NY,"Montauk, NY",2055,rcp85,mean,5,0.18181818181818182
MONTAUK_NY,"Montauk, NY",2100,rcp85,mean,6,0.21739130434782608
MORICHES_NY,"Moriches, NY",2055,rcp85,mean,3,0.09090909090909091
MORICHES_NY,"Moriches, NY",2100,rcp85,mean,4,0.13043478260869565
NAHANT_MA,"Nahant, MA",2055,rcp85,mean,8,0.3181818181818182
NAHANT_MA,"Nahant, MA",2100,rcp85,mean,12,0.4782608695652174
NANTUCKET_MA,"Nantucket, MA",2055,rcp85,mean,11,0.45454545454545453
NANTUCKET_MA,"Nantucket, MA",2100,rcp85,mean,12,0.4782608695652174
NEW BEDFORD_MA,"New Bedford, MA",2055,rcp85,mean,5,0.18181818181818182
NEW BEDFORD_MA,"New Bedford, MA",2100,rcp85,mean,8,0.30434782608695654
NEW LONDON_CT,"New London, CT",2055,rcp85,mean,3,0.09090909090909091
NEW LONDON_CT,"New London, CT",2100,rcp85,mean,8,0.30434782608695654
NEW SHOREHAM_RI,"New Shoreham, RI",2055,rcp85,mean,9,0.36363636363636365
NEW SHOREHAM_RI,"New Shoreham, RI",2100,rcp85,mean,9,0.34782608695652173
NEWBURYPORT_MA,"Newburyport, MA",2055,rcp85,mean,12,0.5
NEWBURYPORT_MA,"Newburyport, MA",2100,rcp85,mean,18,0.7391304347826086
NEWINGTON_NH,"Newington, NH",2055,rcp85,mean,8,0.3181818181818182
NEWINGTON_NH,"Newington, NH",2100,rcp85,mean,13,0.5217391304347826
NEWPORT NEWS_VA,"Newport News, VA",2055,rcp85,mean,2,0.045454545454545456
NEWPORT NEWS_VA,"Newport News, VA",2100,rcp85,mean,4,0.13043478260869565
NEWPORT_RI,"Newport, RI",2055,rcp85,mean,4,0.13636363636363635
NEWPORT_RI,"Newport, RI",2100,rcp85,mean,6,0.21739130434782608
NORTH_KINGSTOWN_SAUNDERSTOWN_RI,"North Kingstown Saunderstown, RI",2055,rcp85,mean,6,0.22727272727272727
NORTH_KINGSTOWN_SAUNDERSTOWN_RI,"North Kingstown Saunderstown, RI",2100,rcp85,mean,6,0.21739130434782608
OAK BLUFFS_MA,"Oak Bluffs, MA",2055,rcp85,mean,10,0.4090909090909091
OAK BLUFFS_MA,"Oak Bluffs, MA",2100,rcp85,mean,9,0.34782608695652173
OCEAN CITY_MD,"Ocean City, MD",2055,rcp85,mean,2,0.045454545454545456
OCEAN CITY_MD,"Ocean City, MD",2100,rcp85,mean,2,0.043478260869565216
