LatID,ID,Community,City,State,ColburnCommunity,Long,Lat,City_raw,City_raw_community,City_raw_short,City_label,meanLat
71,99,SCITUATE_NORTH_SCITUATE_MA,Scituate/North Scituate,MA,"Scituate North Scituate, MA",-70.7605973,42.2042681,Scituate North Scituate,"Scituate North Scituate, MA",Scituate North Sc...,"Scituate North Sc..., MA",41.96883369375
72,64,MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,Marshfield/Green Harbor/Cedar Crest/Marshfield Hills/Ocean Bluff/Brant Rock,MA,NA,-70.7055871,42.0917453,Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock,"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",Marshfield Green ...,"Marshfield Green ..., MA",41.96883369375
73,89,PROVINCETOWN_MA,Provincetown,MA,"Provincetown, MA",-70.1837503,42.0507475,Provincetown,"Provincetown, MA",Provincetown,"Provincetown, MA",41.96883369375
74,32,DUXBURY_MA,Duxbury,MA,"Duxbury, MA",-70.6957984,42.0296352,Duxbury,"Duxbury, MA",Duxbury,"Duxbury, MA",41.96883369375
75,82,PLYMOUTH_MA,Plymouth,MA,"Plymouth, MA",-70.6672621,41.9584457,Plymouth,"Plymouth, MA",Plymouth,"Plymouth, MA",41.96883369375
76,119,WELLFLEET_MA,Wellfleet,MA,"Wellfleet, MA",-70.0309753,41.9305468,Wellfleet,"Wellfleet, MA",Wellfleet,"Wellfleet, MA",41.96883369375
77,80,ORLEANS_MA,Orleans,MA,"Orleans, MA",-69.9897323,41.7898354,Orleans,"Orleans, MA",Orleans,"Orleans, MA",41.96883369375
78,96,SANDWICH_EAST_SANDWICH_FORESTDALE_MA,Sandwich/East Sandwich/Forestdale,MA,"Sandwich East Sandwich Forestdale, MA",-70.500947,41.7588324,Sandwich East Sandwich Forestdale,"Sandwich East Sandwich Forestdale, MA",Sandwich East San...,"Sandwich East San..., MA",41.96883369375
79,30,DENNIS_MA,Dennis,MA,"Dennis, MA",-70.1939429,41.7353062,Dennis,"Dennis, MA",Dennis,"Dennis, MA",41.96883369375
80,37,FALL RIVER_MA,Fall River,MA,"Fall River, MA",-71.1550451,41.7014912,Fall River,"Fall River, MA",Fall River,"Fall River, MA",41.96883369375
81,6,BARNSTABLE_MA,Barnstable,MA,"Barnstable Town, MA",-70.3002024,41.7003208,Barnstable,"Barnstable, MA",Barnstable,"Barnstable, MA",41.96883369375
82,22,CHATHAM_MA,Chatham,MA,"Chatham, MA",-69.9625246,41.6835489,Chatham,"Chatham, MA",Chatham,"Chatham, MA",41.96883369375
83,50,HARWICHPORT_MA,Harwichport,MA,"Harwich Port, MA",-70.0591278,41.6694978,Harwichport,"Harwichport, MA",Harwichport,"Harwichport, MA",41.96883369375
84,54,HYANNIS_MA,Hyannis,MA,NA,-70.2881124,41.6524911,Hyannis,"Hyannis, MA",Hyannis,"Hyannis, MA",41.96883369375
85,36,FAIRHAVEN_MA,Fairhaven,MA,"Fairhaven, MA",-70.9036487,41.6376043,Fairhaven,"Fairhaven, MA",Fairhaven,"Fairhaven, MA",41.96883369375
86,70,NEW BEDFORD_MA,New Bedford,MA,"New Bedford, MA",-70.934205,41.6362152,New Bedford,"New Bedford, MA",New Bedford,"New Bedford, MA",41.96883369375
